work_stress,sleep_issues,overwhelm_freq,concentration_diff,relaxation_diff,Stress_Level,sleep_quality,breathing_problem,noise_level,living_conditions,safety,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,extracurricular_activities,bullying,stress_level
2,0,0,0,2,1,2,4,2,0,0,2,0,2,0,0,2,0,0,2,1
0,8,1,0,5,0,1,4,0,1,2,2,1,4,1,5,1,4,5,5,2
0,18,1,2,2,1,2,2,2,2,0,2,2,0,0,2,2,0,2,2,1
16,0,1,0,4,0,1,0,4,2,2,2,2,4,1,4,1,4,4,5,2
16,28,0,7,2,0,5,1,0,2,4,0,4,0,1,2,1,5,0,5,1
0,0,1,0,0,0,1,4,0,2,2,1,2,5,2,5,1,4,4,5,2
4,26,0,6,1,2,4,1,1,4,4,4,5,1,4,1,0,2,2,1,0
17,0,1,22,4,0,1,5,0,1,1,1,1,0,2,4,1,4,4,5,2
0,22,1,0,0,1,2,4,0,0,0,0,0,0,2,0,0,0,2,2,1
6,8,0,0,4,0,1,2,0,5,2,2,2,2,1,5,1,5,0,4,1
17,0,1,0,4,0,1,0,4,2,1,1,1,0,1,4,1,4,4,5,2
17,0,1,22,0,0,1,5,5,2,1,1,1,0,1,4,1,5,5,4,2
5,28,0,8,1,2,4,2,2,0,5,5,5,2,4,1,0,1,1,1,0
9,1,1,24,4,0,1,0,1,2,4,0,1,2,0,0,0,1,0,1,2
2,28,0,0,1,2,4,2,1,0,4,4,4,2,5,1,0,1,2,1,0
0,0,0,2,0,1,2,4,2,2,2,2,0,0,0,0,2,0,2,2,1
6,28,0,1,1,2,4,2,1,4,5,4,5,1,5,1,0,2,2,1,0
7,0,0,0,1,2,4,2,2,4,5,4,4,2,5,1,0,1,1,1,0
0,1,0,0,0,1,2,2,0,2,0,0,2,0,2,2,0,0,2,0,1
0,1,1,0,4,0,1,4,4,1,2,1,1,5,2,5,1,4,4,5,2
0,0,0,0,1,2,4,1,1,0,5,4,5,2,5,1,0,1,2,1,0
18,1,1,0,4,0,1,0,5,1,1,2,2,5,1,4,1,4,4,5,2
7,0,0,5,1,2,4,1,1,0,5,5,4,2,5,1,0,1,2,1,0
0,5,1,26,0,0,1,4,4,2,1,2,1,0,1,4,1,5,4,4,2
0,0,1,2,0,1,2,2,0,2,2,0,0,2,0,2,0,0,0,2,1
6,26,0,8,1,2,5,2,2,4,5,4,4,1,4,1,0,2,1,1,0
18,6,1,0,5,0,1,5,0,2,2,1,1,0,1,4,1,5,5,4,2
7,28,0,0,2,0,0,1,5,1,2,5,4,0,2,2,1,1,2,2,0
0,1,1,2,2,1,0,2,0,0,2,0,0,2,0,2,0,2,2,0,1
17,6,1,24,0,0,1,0,5,1,1,1,2,0,1,4,1,4,5,4,2
0,0,0,0,1,2,5,1,2,4,5,4,4,2,4,1,0,2,2,1,0
0,8,0,10,4,0,0,4,1,0,2,5,0,4,2,4,1,0,2,1,1
0,9,1,0,4,0,1,4,5,2,1,2,2,0,2,4,1,4,4,4,2
9,1,0,9,2,1,2,2,2,0,0,2,0,0,2,2,2,0,2,0,1
7,0,0,0,1,2,4,1,1,4,5,5,5,2,4,1,0,1,1,1,0
9,22,0,2,2,1,2,2,0,0,0,0,2,0,2,2,2,0,2,2,1
0,0,0,2,2,1,0,2,2,0,2,0,2,2,2,2,2,2,2,0,1
7,0,0,8,1,2,5,2,2,4,4,5,5,2,5,1,0,1,1,1,0
0,6,1,0,0,0,1,0,5,1,2,1,1,4,1,4,1,5,4,4,2
5,0,0,6,1,2,5,1,1,4,4,4,5,1,4,1,0,1,1,1,0
5,29,0,6,1,2,5,2,2,4,5,5,4,2,4,1,0,2,2,1,0
8,0,0,0,1,2,4,1,2,4,4,5,5,2,4,1,0,1,2,1,0
1,0,0,2,1,2,5,1,2,0,4,5,5,1,5,1,0,2,2,1,0
2,9,1,16,0,0,1,0,0,2,1,1,2,0,1,4,1,5,4,4,2
0,4,1,22,4,0,1,4,5,2,2,2,2,0,2,5,1,5,5,4,2
0,0,0,1,1,2,5,2,1,4,5,4,4,2,4,1,0,2,2,1,0
2,1,1,0,4,0,1,5,4,2,2,1,1,4,2,4,1,4,4,4,2
7,0,0,7,1,2,4,2,1,4,5,5,4,2,4,1,0,1,1,1,0
0,2,1,10,2,1,2,4,0,0,2,2,0,2,0,0,2,0,2,2,1
2,26,0,4,1,2,5,2,1,4,4,5,4,2,5,1,0,2,2,1,0
8,0,0,5,1,2,4,1,1,0,5,5,4,1,5,1,0,2,2,1,0
10,16,0,2,0,1,0,2,2,2,0,0,2,2,0,0,2,0,0,0,1
6,29,0,0,1,2,4,2,1,4,4,5,5,2,5,1,0,2,2,1,0
2,2,1,24,5,0,1,4,4,1,1,1,2,0,2,4,1,4,5,5,2
0,1,0,0,2,1,0,2,0,0,2,2,0,0,0,0,2,2,2,0,1
0,1,0,0,0,1,2,2,0,0,0,0,2,0,2,2,0,2,0,2,1
0,18,1,0,2,1,2,4,2,0,2,2,0,2,2,2,0,2,0,2,1
8,28,0,5,1,2,5,2,1,0,4,4,5,1,5,1,0,2,1,1,0
4,29,0,2,1,2,4,2,1,0,4,4,4,2,5,1,0,1,1,1,0
4,0,0,5,1,2,4,2,1,4,4,5,5,2,5,1,0,1,2,1,0
4,28,0,0,1,2,4,2,1,4,4,4,5,1,4,1,0,2,2,1,0
8,29,1,2,2,0,0,4,1,4,4,5,0,0,0,5,1,4,5,2,1
0,0,0,1,1,2,4,1,1,0,5,5,4,1,4,1,0,1,2,1,0
0,1,1,10,0,1,2,2,2,0,0,2,2,0,0,0,0,2,0,0,1
0,0,1,0,0,0,5,5,5,4,0,2,2,0,0,4,0,1,4,1,0
5,0,0,0,1,2,4,2,2,0,4,5,5,2,5,1,0,1,2,1,0
18,2,1,0,4,0,1,4,4,1,1,2,2,4,2,5,1,5,4,5,2
0,0,0,9,2,1,0,4,2,2,2,0,0,0,0,2,0,0,2,2,1
0,1,1,10,0,1,2,2,0,0,0,0,2,0,2,2,0,2,2,0,1
1,26,0,18,2,0,0,0,1,2,2,4,0,2,1,5,1,1,5,2,1
5,0,0,0,1,2,5,2,1,4,5,4,5,1,4,1,0,1,1,1,0
0,0,1,1,5,0,1,0,0,2,2,1,2,5,2,4,1,4,4,4,2
2,26,0,4,1,2,4,2,1,4,5,4,5,1,4,1,0,2,2,1,0
0,0,0,7,1,2,4,2,1,0,5,5,5,1,4,1,0,2,1,1,0
0,7,1,0,4,0,1,4,5,2,2,2,1,4,2,4,1,5,4,4,2
17,5,1,26,5,0,1,0,5,1,2,1,1,5,1,5,1,5,5,4,2
0,5,1,0,0,0,1,4,0,1,2,2,2,5,2,4,1,5,5,4,2
1,29,0,5,1,2,5,2,1,0,4,5,4,1,5,1,0,2,1,1,0
0,17,1,0,0,1,2,4,2,2,0,0,0,0,0,2,2,2,0,2,1
18,0,1,1,0,0,1,0,5,2,1,1,2,4,2,5,1,4,4,4,2
4,26,0,5,1,2,5,2,2,4,5,4,4,1,5,1,0,2,2,1,0
9,0,1,2,2,1,2,4,2,2,2,0,2,0,0,0,2,0,0,2,1
17,0,1,17,5,0,1,0,5,1,2,2,1,4,2,5,1,4,5,5,2
0,26,0,8,1,2,4,2,1,0,5,5,4,2,4,1,0,2,2,1,0
0,0,0,0,0,1,0,2,0,2,0,2,0,2,2,0,0,2,0,2,1
10,24,1,0,0,1,2,4,0,2,2,0,0,2,0,2,2,0,2,0,1
9,22,1,10,2,1,0,2,0,0,2,0,2,2,2,0,0,2,0,0,1
17,0,1,0,4,0,1,4,5,2,1,2,1,5,2,5,1,4,5,5,2
0,18,0,0,0,1,0,2,2,2,0,0,2,0,0,0,0,2,0,0,1
17,0,1,18,4,0,1,5,4,2,1,2,1,4,1,5,1,5,4,4,2
9,2,1,0,0,1,2,4,2,2,2,0,2,0,0,0,2,0,0,0,1
16,0,1,18,4,0,1,4,5,2,1,1,1,5,2,4,1,5,5,4,2
0,1,1,18,5,0,1,5,0,2,2,1,2,4,1,5,1,5,4,4,2
9,1,1,2,0,0,5,5,0,0,4,1,2,4,4,5,1,0,1,0,2
8,0,1,22,5,0,5,5,0,1,0,4,0,5,1,2,1,2,0,1,0
2,7,1,0,1,0,0,4,4,4,0,1,5,5,0,0,0,0,0,2,1
0,2,1,2,0,0,1,0,0,1,1,2,1,4,1,5,1,4,4,5,2
17,7,1,1,4,0,1,0,0,1,1,2,2,0,2,4,1,4,5,5,2
6,0,0,1,1,2,5,1,2,4,5,4,5,1,5,1,0,1,1,1,0
9,1,1,0,0,1,0,4,0,0,2,2,0,0,0,2,2,0,2,0,1
0,0,0,22,1,0,4,1,0,4,1,2,0,0,0,2,0,0,5,1,1
0,0,0,22,0,0,4,4,1,1,5,1,4,2,4,2,0,1,0,0,1
0,17,0,0,0,1,2,4,2,0,0,0,0,2,0,0,0,2,2,2,1
0,0,1,0,2,1,2,4,2,0,0,2,2,2,2,2,2,0,0,2,1
0,29,0,7,1,2,4,1,1,4,5,4,4,1,5,1,0,1,1,1,0
8,26,0,2,1,2,5,2,2,4,5,5,4,2,4,1,0,1,1,1,0
2,0,1,0,0,0,1,0,4,1,2,2,1,0,1,5,1,4,5,4,2
0,28,0,1,1,2,4,1,2,4,5,5,4,2,4,1,0,1,2,1,0
16,9,1,0,0,0,1,0,4,1,1,1,2,5,1,5,1,5,5,4,2
0,6,1,0,0,0,1,0,4,2,2,2,2,0,2,4,1,4,5,5,2
1,29,0,7,1,2,5,1,1,4,5,5,5,1,4,1,0,2,1,1,0
17,4,1,2,0,0,1,5,5,2,2,2,2,0,1,5,1,4,5,5,2
5,0,0,8,1,2,4,1,2,4,4,5,4,1,5,1,0,2,1,1,0
9,24,0,0,2,1,2,4,0,2,2,0,2,0,0,0,2,2,2,0,1
0,2,0,22,0,0,4,5,1,5,0,0,1,2,2,0,1,0,2,1,2
17,0,1,0,4,0,1,4,4,2,2,2,1,5,1,4,1,4,4,4,2
0,0,1,0,0,1,0,4,2,2,2,2,2,0,2,0,2,0,0,0,1
2,7,1,17,5,0,1,4,5,2,1,2,1,0,2,5,1,5,5,5,2
18,8,1,24,5,0,1,4,4,1,2,1,2,5,1,5,1,4,4,5,2
9,1,0,0,2,1,2,4,0,0,2,0,2,2,0,2,0,0,2,0,1
6,28,0,0,1,2,4,2,2,0,4,4,5,1,4,1,0,2,2,1,0
18,0,1,18,5,0,1,0,0,1,2,2,1,4,1,5,1,4,4,5,2
7,29,0,8,1,2,4,2,2,4,5,4,4,1,5,1,0,1,2,1,0
9,0,1,0,0,1,0,4,0,2,2,0,2,2,2,0,2,2,2,0,1
0,0,1,2,0,1,2,2,0,0,0,2,2,2,0,0,2,2,0,0,1
2,16,0,6,0,0,4,0,0,5,0,2,4,0,2,1,1,2,5,2,0
0,0,1,2,0,1,0,4,0,2,0,0,0,2,0,0,2,0,0,2,1
6,26,0,2,1,2,4,1,1,0,5,5,4,2,4,1,0,2,2,1,0
2,0,0,0,0,0,0,4,5,0,1,4,0,5,4,2,1,1,0,2,2
2,2,0,0,2,1,0,4,2,0,2,0,0,0,2,2,0,2,2,0,1
5,0,0,6,1,2,4,1,2,4,5,4,4,2,4,1,0,1,2,1,0
0,16,0,0,2,1,0,4,0,0,0,2,0,0,0,2,0,2,2,2,1
0,0,0,8,0,0,0,0,0,2,1,4,4,4,2,0,1,5,2,5,0
2,16,1,0,0,1,0,4,2,0,0,0,2,2,0,0,0,2,2,2,1
0,0,0,10,0,1,0,4,0,2,2,0,2,2,2,2,0,2,0,0,1
7,24,1,0,0,0,0,2,5,4,4,0,1,5,0,1,1,5,0,0,0
6,0,0,0,1,2,4,1,1,4,4,4,5,1,5,1,0,2,1,1,0
2,0,1,0,0,0,1,5,5,1,2,1,2,0,2,5,1,5,4,4,2
8,28,0,0,1,2,4,2,1,0,5,5,4,2,5,1,0,1,1,1,0
10,0,1,0,0,1,0,4,2,2,0,2,2,2,2,2,2,2,0,2,1
1,5,0,1,4,0,5,2,2,2,2,0,2,5,0,0,1,0,2,2,2
0,0,1,24,1,0,5,0,5,0,4,0,2,5,0,4,0,1,5,0,0
0,17,0,0,0,1,2,4,0,0,2,2,2,0,0,0,0,2,2,2,1
2,29,0,1,1,2,5,2,1,4,5,5,4,2,4,1,0,2,1,1,0
6,0,1,0,0,0,5,2,0,4,1,0,1,5,2,0,1,2,0,1,2
2,0,0,5,1,2,5,2,2,0,5,5,4,2,4,1,0,1,2,1,0
9,17,1,2,0,1,2,2,0,2,0,2,0,2,0,2,2,0,2,2,1
18,0,1,0,0,0,1,5,4,2,2,2,2,5,1,4,1,4,5,4,2
9,0,1,2,2,1,2,4,0,2,2,2,2,0,0,2,2,2,0,2,1
18,2,1,0,5,0,1,0,4,2,2,1,2,0,2,4,1,4,4,5,2
8,29,0,1,1,2,5,2,1,0,5,4,5,2,5,1,0,2,2,1,0
9,2,1,2,2,1,0,2,2,2,0,2,2,0,0,0,0,0,0,2,1
2,22,1,0,0,1,0,4,2,2,2,2,0,2,0,0,0,0,0,0,1
16,0,1,18,4,0,1,0,5,2,1,1,2,0,2,5,1,5,4,4,2
18,1,1,16,4,0,1,5,0,1,1,1,2,0,1,4,1,4,4,4,2
10,0,1,10,0,1,2,4,2,2,0,2,2,2,2,0,2,0,2,2,1
6,0,0,1,1,2,4,1,1,0,4,4,4,1,4,1,0,2,2,1,0
0,0,0,0,2,1,2,4,0,2,0,2,2,2,2,2,0,0,0,0,1
2,0,0,0,1,2,5,1,1,0,5,5,4,2,4,1,0,2,2,1,0
1,0,0,6,1,2,5,2,2,0,4,5,4,1,4,1,0,2,2,1,0
0,22,1,2,0,1,2,4,0,0,2,0,0,2,2,0,0,2,0,2,1
0,0,0,6,5,0,0,5,0,2,1,2,2,0,4,0,1,0,5,0,1
0,0,1,0,0,0,1,5,4,1,2,1,2,0,1,4,1,5,4,5,2
0,0,0,10,2,1,0,2,0,0,0,2,2,2,0,2,2,2,2,0,1
5,0,0,7,1,2,5,2,1,0,5,4,5,1,5,1,0,1,2,1,0
0,4,1,26,0,0,1,5,5,2,1,2,1,4,1,5,1,4,5,4,2
10,0,1,10,0,1,2,4,2,0,0,2,2,0,0,2,0,2,2,0,1
2,0,0,0,1,2,4,1,1,0,5,4,4,1,4,1,0,1,2,1,0
0,0,1,0,0,1,0,2,0,0,2,0,0,0,2,0,0,0,2,2,1
9,0,1,0,0,1,0,2,0,2,2,0,0,0,2,0,2,2,0,0,1
4,0,0,6,1,2,4,1,2,4,4,5,5,1,4,1,0,2,1,1,0
17,9,0,0,0,0,2,1,5,4,4,0,1,2,1,0,1,1,0,0,2
0,0,1,2,2,1,0,4,0,2,2,0,0,0,0,2,0,2,2,2,1
6,29,0,0,1,2,5,2,1,4,5,4,5,1,4,1,0,1,1,1,0
5,26,0,0,1,2,4,1,2,4,4,4,5,2,5,1,0,2,1,1,0
0,0,1,26,4,0,1,0,5,2,1,2,1,0,2,4,1,5,5,4,2
17,0,1,1,5,0,1,4,0,1,1,2,1,4,2,4,1,4,4,4,2
0,5,1,17,5,0,1,0,0,1,2,1,1,5,2,5,1,5,5,4,2
4,0,0,22,0,0,0,4,0,1,1,0,1,5,0,4,0,0,4,4,1
7,0,1,17,0,0,0,4,0,0,2,5,0,0,0,4,1,4,0,4,0
4,29,0,4,1,2,5,1,2,0,4,5,4,1,4,1,0,1,1,1,0
0,6,1,1,0,0,1,0,4,2,1,1,2,4,2,5,1,4,5,4,2
9,22,0,10,0,1,0,2,2,2,0,0,2,0,2,2,2,2,0,0,1
6,28,0,8,1,2,5,2,2,4,4,4,5,1,4,1,0,2,1,1,0
0,4,1,0,4,0,0,0,2,5,5,1,0,2,2,4,0,2,4,0,2
0,0,1,18,4,0,1,5,4,1,1,2,1,4,2,4,1,4,5,5,2
10,0,0,10,2,1,0,4,2,0,0,2,2,2,0,2,2,0,2,0,1
0,29,0,5,1,2,5,1,2,4,5,4,5,1,5,1,0,1,2,1,0
0,16,0,0,2,1,2,2,0,0,2,0,0,2,0,2,0,0,0,0,1
18,7,1,0,0,0,1,4,4,2,2,2,2,0,1,5,1,4,5,4,2
6,0,0,7,2,0,5,0,0,1,0,1,5,5,1,0,1,4,1,1,1
10,0,1,10,2,1,2,4,2,0,0,0,2,0,2,2,2,2,2,0,1
2,1,1,0,5,0,0,0,5,2,4,0,1,0,1,0,0,1,0,5,2
0,0,1,10,0,1,0,2,2,0,2,2,0,2,0,2,0,2,2,2,1
6,17,0,1,2,0,0,2,2,0,2,2,5,0,0,5,0,0,0,4,2
16,4,1,26,4,0,1,4,5,2,1,1,2,5,1,4,1,5,5,4,2
17,0,1,26,0,0,1,4,4,2,2,1,2,0,2,4,1,5,4,4,2
6,28,0,5,1,2,5,2,2,0,4,5,4,2,5,1,0,2,1,1,0
0,0,1,10,2,1,0,4,2,0,0,0,2,0,2,2,0,2,0,2,1
2,1,0,26,4,0,5,0,4,2,2,0,0,1,2,5,1,5,2,0,0
0,0,1,0,5,0,1,5,5,2,2,2,1,0,1,5,1,4,5,4,2
16,9,1,0,5,0,1,5,4,1,1,2,1,4,2,5,1,4,4,5,2
16,9,1,17,4,0,1,0,0,1,2,2,2,5,2,4,1,5,5,5,2
10,24,1,10,0,1,0,2,0,2,0,0,0,2,2,2,2,2,2,0,1
0,7,1,9,5,0,0,0,0,0,1,1,2,0,0,5,1,5,0,0,0
0,5,1,0,0,0,1,5,4,2,1,1,2,0,2,4,1,5,4,5,2
0,7,1,0,5,0,1,0,4,2,2,2,1,0,2,4,1,4,4,5,2
2,10,1,0,4,0,1,0,4,2,1,2,2,0,1,4,1,5,5,5,2
17,0,1,0,4,0,1,0,5,2,2,1,2,0,1,5,1,4,4,4,2
7,0,1,17,5,0,1,2,1,1,1,0,0,0,2,5,1,4,1,1,2
0,0,0,10,2,1,2,2,0,0,0,0,2,0,2,2,0,2,2,2,1
16,0,1,16,1,0,5,0,5,1,2,1,1,5,4,0,1,2,2,0,0
1,26,0,2,1,2,4,1,1,0,5,4,4,1,4,1,0,2,2,1,0
0,24,1,10,2,1,0,4,2,2,0,2,2,0,0,0,2,2,2,0,1
8,29,0,5,1,2,5,1,2,4,5,4,5,1,4,1,0,2,2,1,0
2,6,1,2,5,0,1,0,0,1,2,1,1,0,1,4,1,4,4,4,2
0,2,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,2,2,0,1
9,24,1,10,0,1,2,2,2,2,0,2,0,2,2,2,2,0,0,0,1
5,26,0,1,1,2,4,1,1,0,5,5,4,2,4,1,0,1,1,1,0
0,6,0,8,1,0,1,0,4,2,0,0,4,0,4,4,0,2,4,0,0
2,24,1,10,4,0,2,0,2,5,5,0,0,2,0,0,1,1,0,4,1
10,1,1,0,2,1,2,2,0,0,2,2,0,2,0,2,0,0,0,0,1
0,24,0,0,0,1,2,2,0,2,2,0,2,2,2,2,2,2,2,2,1
2,0,1,0,0,0,1,4,4,2,2,2,2,4,2,4,1,4,4,5,2
1,0,0,0,1,2,4,2,1,4,5,4,5,1,5,1,0,1,2,1,0
0,24,0,2,2,1,2,4,0,0,0,0,2,0,2,2,2,2,2,0,1
4,8,0,0,1,0,4,5,4,2,2,2,1,1,4,2,1,0,4,5,2
0,2,0,9,0,1,2,2,0,0,2,2,2,2,0,2,2,0,2,2,1
9,17,0,0,0,1,0,2,2,2,2,0,2,2,0,0,2,0,0,2,1
9,22,1,0,2,1,0,2,2,2,0,0,2,2,2,2,2,0,2,2,1
0,26,0,1,1,2,4,1,2,4,4,5,4,1,4,1,0,2,1,1,0
4,0,0,8,1,2,4,1,1,4,5,5,4,1,5,1,0,2,1,1,0
0,0,0,0,1,2,5,2,1,0,4,5,5,1,4,1,0,1,2,1,0
0,0,1,0,0,1,2,4,2,2,2,2,2,2,0,2,2,2,0,0,1
0,9,1,0,0,0,1,4,5,2,2,1,2,0,2,4,1,5,5,4,2
16,0,1,0,0,0,1,4,5,1,2,1,1,5,1,5,1,5,5,5,2
0,2,1,0,5,0,1,5,5,2,1,1,2,4,2,5,1,5,5,5,2
0,0,1,0,2,1,2,2,0,2,0,0,2,0,0,0,0,0,0,0,1
0,0,0,0,2,1,0,4,2,2,0,2,2,0,0,2,0,2,2,0,1
6,26,0,0,1,2,4,1,1,4,4,4,4,2,4,1,0,1,1,1,0
9,22,0,0,0,1,0,2,2,0,2,0,0,2,2,2,2,0,2,2,1
0,22,0,0,5,0,4,1,0,0,5,1,2,2,4,0,0,0,0,0,1
0,16,0,10,0,1,0,2,0,0,0,0,0,0,2,2,0,0,2,2,1
2,0,1,2,2,1,2,2,2,0,0,0,2,0,0,0,0,2,2,0,1
6,26,0,0,1,2,4,1,2,4,5,4,4,1,4,1,0,1,2,1,0
7,0,0,4,1,2,4,2,2,0,4,4,4,2,4,1,0,2,1,1,0
6,0,0,4,1,2,4,2,1,4,4,5,4,2,5,1,0,2,2,1,0
0,7,1,0,4,0,1,0,0,2,2,1,2,5,1,5,1,4,4,5,2
16,10,1,0,0,0,1,5,4,2,2,2,2,5,1,5,1,5,4,5,2
7,0,0,0,1,2,4,2,2,0,5,4,4,1,4,1,0,2,1,1,0
16,6,1,2,0,0,1,4,0,1,2,2,2,0,1,5,1,5,4,4,2
0,18,1,0,0,1,0,2,0,0,0,2,0,0,0,2,0,0,0,2,1
5,0,1,0,4,0,4,4,5,4,2,0,4,0,2,2,1,0,1,0,0
0,0,1,0,2,1,0,4,2,2,2,2,0,2,2,0,0,0,0,0,1
5,0,0,7,1,2,4,2,2,0,4,5,4,2,5,1,0,1,2,1,0
0,0,1,10,0,0,2,0,0,4,2,4,1,2,0,2,0,0,2,0,1
7,28,0,7,1,2,5,1,2,0,4,5,5,2,4,1,0,2,1,1,0
1,0,0,0,1,2,4,2,2,0,4,5,4,1,4,1,0,2,1,1,0
0,0,0,10,0,1,2,2,2,2,2,0,0,2,0,0,0,0,2,2,1
5,0,0,0,2,0,4,0,5,0,0,1,0,0,2,0,0,2,0,0,1
8,26,0,8,1,2,5,2,1,4,4,4,4,2,5,1,0,1,1,1,0
0,2,1,0,2,1,0,4,0,2,2,2,0,2,0,0,0,2,2,0,1
8,0,0,0,1,2,4,1,1,4,4,4,5,2,5,1,0,2,2,1,0
2,24,1,10,2,1,2,4,0,0,2,2,0,2,0,0,0,0,0,0,1
9,17,1,0,0,1,0,4,2,2,2,2,0,2,2,0,0,2,0,0,1
0,18,1,9,0,1,2,2,2,0,0,2,2,0,0,0,2,2,2,0,1
10,0,1,10,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,2,1
16,0,1,22,5,0,1,4,4,2,2,2,1,5,2,5,1,4,5,5,2
1,29,0,0,1,2,4,2,2,4,5,4,5,1,5,1,0,1,1,1,0
